atclaatst_naam_tekst#gesl#atclaatst#uitgiftes#DDD#vergoeding#gebruikers#DDD_per_uitgifte#vergoeding_per_uitgifte#vergoeding_per_gebruiker#vergoeding_per_DDD#DDD_per_gebruiker#uitgifte_per_gebruiker#lftkls
Corticosteroiden voor lokaal gebruik in de mond #V #A01AC__ #566 #4900 #33701 #319 #8,65 #59,52 #105,80 #6,88 #15,38 #1,78 #25-44
Corticosteroiden voor lokaal gebruik in de mond #V #A01AC__ #2285 #21700 #146550 #1027 #9,50 #64,14 #142,70 #6,75 #21,13 #2,22 #45-64
Corticosteroiden voor lokaal gebruik in de mond #V #A01AC__ #1733 #17890 #108360 #744 #10,32 #62,53 #145,60 #6,06 #24,03 #2,33 #65-74
Corticosteroiden voor lokaal gebruik in de mond #V #A01AC__ #1370 #15900 #83016 #540 #11,61 #60,59 #153,80 #5,22 #29,47 #2,54 #75 +
Diverse middelen #M #A01AD11 #38 #. #1339 #34 #. #35,46 #39,78 #. #. #1,12 #0-4
Diverse middelen #M #A01AD11 #61 #. #3103 #49 #. #51,23 #62,93 #. #. #1,23 #5-14
Diverse middelen #M #A01AD11 #145 #114 #4934 #135 #0,79 #33,93 #36,52 #43,21 #0,85 #1,08 #15-24
Diverse middelen #M #A01AD11 #454 #30 #16054 #422 #0,07 #35,35 #38,09 #535,10 #0,07 #1,08 #25-44
Diverse middelen #M #A01AD11 #2495 #. #86749 #2317 #. #34,76 #37,44 #. #. #1,08 #45-64
Diverse middelen #M #A01AD11 #3107 #. #107030 #2848 #. #34,45 #37,58 #. #. #1,09 #65-74
Diverse middelen #M #A01AD11 #4463 #. #153200 #3962 #. #34,33 #38,67 #. #. #1,13 #75 +
Diverse middelen #V #A01AD11 #28 #. #1018 #22 #. #36,78 #47,31 #. #. #1,29 #0-4
Diverse middelen #V #A01AD11 #71 #. #2568 #57 #. #36,28 #45,36 #. #. #1,25 #5-14
Diverse middelen #V #A01AD11 #129 #. #4747 #119 #. #36,67 #39,78 #. #. #1,08 #15-24
